linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
how-steel-reinforcements-protect-passengers-in-a-crash,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
5-applications-of-welded-wire-mesh,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-jsw-concreel-hd-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-steel-columns-in-increasing-load-bearing-capacity-in-pebs,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
8-ways-steel-enhance-the-structural-integrity-of-warehouses,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
best-practices-for-welding-steel-in-auto-parts-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-endures-in-solar-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-wire-rods-power-your-vehicles,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
rising-input-costs-and-unstable-steel-prices-a-concern-for-appliance,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
msme-financing-what-you-need-to-know-about-funding-your-business,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-msmes-can-leverage-steel-to-improve-safety-in-auto-components,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
difference-between-cold-rolled-and-cold-drawn-steel-applications-and-use,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-do-steel-trucks-meet-the-challenges-of-heavy-duty-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-are-solar-panels-made,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-reinforcements-improve-the-structural-integrity-of-solar-carports,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
digital-lending-options-for-msmes-in-india,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
stainless-steel-in-solar-energy-use,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-corrosion-resistance-of-stainless-steel-how-it-works-and-how-to-optimise,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
an-msmes-guide-to-working-capital-management,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-cement-in-the-durability-of-bridges-and-flyovers,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
7-tips-for-prolonging-vehicle-lifespan-with-steel-chassis-maintenance,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
business,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-steel-in-sustainable-construction-and-green-building-design,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-is-2062-2011-e350a-hot-rolled-structural-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
galvanised-vs-stainless-steel-what-steel-to-use-where-for-your-fabrication,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-the-fuel-behind-renewable-energy,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to2__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to2__0""><a href=""#difflib_chg_to2__top"">t</a></td><td class=""diff_header"" id=""from2_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to2__top"">t</a></td><td class=""diff_header"" id=""to2_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;o</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">ne&nbsp;msme</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to3__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to3__0""><a href=""#difflib_chg_to3__top"">t</a></td><td class=""diff_header"" id=""from3_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to3__top"">t</a></td><td class=""diff_header"" id=""to3_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">cement&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;man</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">ufacturing&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
importance-of-rebar-in-concrete-footings-for-solid-foundations,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-select-the-right-steel-for-your-project,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
best-practices-for-fabricating-solar-panel-frames-using-galvanised-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.936; metaDescription: 0.969; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.94); metaDescription (Similarity: 0.97); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to4__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to4__0""><a href=""#difflib_chg_to4__top"">t</a></td><td class=""diff_header"" id=""from4_1"">1</td><td nowrap=""nowrap"">why&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;best&nbsp;choice&nbsp;for&nbsp;solar&nbsp;panel&nbsp;fram</td><td class=""diff_next""><a href=""#difflib_chg_to4__top"">t</a></td><td class=""diff_header"" id=""to4_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>why&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;best&nbsp;choice&nbsp;for&nbsp;solar&nbsp;panel</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">es&nbsp;jsw&nbsp;one&nbsp;msme</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;frames&nbsp;jsw&nbsp;one&nbsp;msme</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to5__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to5__0""><a href=""#difflib_chg_to5__top"">t</a></td><td class=""diff_header"" id=""from5_1"">1</td><td nowrap=""nowrap"">find&nbsp;out&nbsp;why&nbsp;hot&nbsp;dip&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;preferred&nbsp;mater</td><td class=""diff_next""><a href=""#difflib_chg_to5__top"">t</a></td><td class=""diff_header"" id=""to5_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>find&nbsp;out&nbsp;why&nbsp;hot&nbsp;dip&nbsp;galvanised&nbsp;steel&nbsp;is&nbsp;the&nbsp;preferred&nbsp;</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ial&nbsp;for&nbsp;solar&nbsp;panel&nbsp;frames&nbsp;and&nbsp;how&nbsp;to&nbsp;optimise&nbsp;fabrication&nbsp;f</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">material&nbsp;for&nbsp;solar&nbsp;panel&nbsp;frames&nbsp;and&nbsp;how&nbsp;to&nbsp;optimise&nbsp;fabricat</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">or&nbsp;strength&nbsp;corrosion&nbsp;resistance&nbsp;and&nbsp;efficiency</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ion&nbsp;for&nbsp;strength&nbsp;corrosion&nbsp;resistance&nbsp;and&nbsp;efficiency</td></tr>
        </tbody>
    </table>"
role-of-e-commerce-in-msme-growth,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-best-steel-roofing-solutions-for-industrial-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-maintain-the-longevity-of-steel-fasteners-in-harsh-environments,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
innovative-steel-applications-for-lightweight-electric-vehicle-components,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.724; metaDescription: 0.958; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.72); metaDescription (Similarity: 0.96); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to6__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to6__0""><a href=""#difflib_chg_to6__top"">t</a></td><td class=""diff_header"" id=""from6_1"">1</td><td nowrap=""nowrap"">the&nbsp;role&nbsp;of&nbsp;advanced&nbsp;steel&nbsp;in&nbsp;lightweight&nbsp;electric&nbsp;vehicle&nbsp;d</td><td class=""diff_next""><a href=""#difflib_chg_to6__top"">t</a></td><td class=""diff_header"" id=""to6_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>the&nbsp;role&nbsp;of&nbsp;advanced&nbsp;steel&nbsp;in&nbsp;lightweight&nbsp;electric&nbsp;vehi</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">esign<span class=""diff_sub"">&nbsp;jsw&nbsp;one&nbsp;msme</span></td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">cle&nbsp;design</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to7__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to7__0""><a href=""#difflib_chg_to7__top"">t</a></td><td class=""diff_header"" id=""from7_1"">1</td><td nowrap=""nowrap"">explore&nbsp;how&nbsp;advanced&nbsp;steel&nbsp;technologies&nbsp;are&nbsp;creating&nbsp;lightwe</td><td class=""diff_next""><a href=""#difflib_chg_to7__top"">t</a></td><td class=""diff_header"" id=""to7_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>explore&nbsp;how&nbsp;advanced&nbsp;steel&nbsp;technologies&nbsp;are&nbsp;creating&nbsp;li</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ight&nbsp;ev&nbsp;components&nbsp;boosting&nbsp;performance&nbsp;safety&nbsp;and&nbsp;eco&nbsp;frien</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ghtweight&nbsp;ev&nbsp;components&nbsp;boosting&nbsp;performance&nbsp;safety&nbsp;and&nbsp;eco&nbsp;</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">dliness&nbsp;in&nbsp;the&nbsp;race&nbsp;for&nbsp;greener&nbsp;transport</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">friendliness&nbsp;in&nbsp;the&nbsp;race&nbsp;for&nbsp;greener&nbsp;transport</td></tr>
        </tbody>
    </table>"
article,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-e250a-steel-in-industrial-machinery,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
galvanised-and-galvalume-steel-for-roofing-and-cladding,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
comparative-analysis-between-galvanised-vs-galvalume-steel-for-solar-panels,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
protecting-hot-rolled-sheets-from-rust-during-rainy-seasons,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-should-you-consider-tmt-this-rainy-season-for-construction-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cibil-and-cmr-how-better-credit-ratings-can-help-fuel-growth-for-msmes,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
